AED,0.27224960,02/21/2021 00:00:00
AFN,0.01289313,02/21/2021 00:00:00
ALL,0.00979490,02/21/2021 00:00:00
AMD,0.00190665,02/21/2021 00:00:00
ANG,0.55618899,02/21/2021 00:00:00
AOA,0.00153266,02/21/2021 00:00:00
ARS,0.01121051,02/21/2021 00:00:00
AUD,0.78699878,02/21/2021 00:00:00
AWG,0.55555556,02/21/2021 00:00:00
AZN,0.58686479,02/21/2021 00:00:00
BAM,0.61959788,02/21/2021 00:00:00
BBD,0.49446203,02/21/2021 00:00:00
BDT,0.01179179,02/21/2021 00:00:00
BGN,0.61960556,02/21/2021 00:00:00
BHD,2.65167586,02/21/2021 00:00:00
BIF,0.00051359,02/21/2021 00:00:00
BMD,1.00000000,02/21/2021 00:00:00
BND,0.75404545,02/21/2021 00:00:00
BOB,0.14437494,02/21/2021 00:00:00
BRL,0.18577450,02/21/2021 00:00:00
BSD,0.99837265,02/21/2021 00:00:00
BTC,56645.90782424,02/21/2021 00:00:00
BTN,0.01376744,02/21/2021 00:00:00
BWP,0.09214696,02/21/2021 00:00:00
BYN,0.38546489,02/21/2021 00:00:00
BYR,0.00005102,02/21/2021 00:00:00
BZD,0.49528979,02/21/2021 00:00:00
CAD,0.79267568,02/21/2021 00:00:00
CDF,0.00050569,02/21/2021 00:00:00
CHF,1.11577256,02/21/2021 00:00:00
CLF,38.94080997,02/21/2021 00:00:00
CLP,0.00141113,02/21/2021 00:00:00
CNY,0.15415922,02/21/2021 00:00:00
COP,0.00028144,02/21/2021 00:00:00
CRC,0.00163156,02/21/2021 00:00:00
CUC,1.00000000,02/21/2021 00:00:00
CUP,0.03773585,02/21/2021 00:00:00
CVE,0.01099011,02/21/2021 00:00:00
CZK,0.04680388,02/21/2021 00:00:00
DJF,0.00560796,02/21/2021 00:00:00
DKK,0.16295669,02/21/2021 00:00:00
DOP,0.01723963,02/21/2021 00:00:00
DZD,0.00754119,02/21/2021 00:00:00
EGP,0.06393506,02/21/2021 00:00:00
ERN,0.06666507,02/21/2021 00:00:00
ETB,0.02479361,02/21/2021 00:00:00
ETH,1940.17208704,02/21/2021 00:00:00
EUR,1.21182744,02/21/2021 00:00:00
FJD,0.49359560,02/21/2021 00:00:00
FKP,1.40105079,02/21/2021 00:00:00
GBP,1.40165956,02/21/2021 00:00:00
GEL,0.30207921,02/21/2021 00:00:00
GGP,1.40105079,02/21/2021 00:00:00
GHS,0.17287579,02/21/2021 00:00:00
GIP,1.40105079,02/21/2021 00:00:00
GMD,0.01943620,02/21/2021 00:00:00
GNF,0.00009841,02/21/2021 00:00:00
GTQ,0.12932060,02/21/2021 00:00:00
GYD,0.00477190,02/21/2021 00:00:00
HKD,0.12897900,02/21/2021 00:00:00
HNL,0.04142850,02/21/2021 00:00:00
HRK,0.16006403,02/21/2021 00:00:00
HTG,0.01368954,02/21/2021 00:00:00
HUF,0.00338072,02/21/2021 00:00:00
IDR,0.00007109,02/21/2021 00:00:00
ILS,0.30571317,02/21/2021 00:00:00
IMP,1.40105079,02/21/2021 00:00:00
INR,0.01377970,02/21/2021 00:00:00
IQD,0.00068427,02/21/2021 00:00:00
IRR,0.00002375,02/21/2021 00:00:00
ISK,0.00778793,02/21/2021 00:00:00
JEP,1.40105079,02/21/2021 00:00:00
JMD,0.00662279,02/21/2021 00:00:00
JOD,1.41183114,02/21/2021 00:00:00
JPY,0.00947674,02/21/2021 00:00:00
KES,0.00910057,02/21/2021 00:00:00
KGS,0.01181544,02/21/2021 00:00:00
KHR,0.00024542,02/21/2021 00:00:00
KMF,0.00246061,02/21/2021 00:00:00
KPW,0.00111111,02/21/2021 00:00:00
KRW,0.00090498,02/21/2021 00:00:00
KWD,3.30469266,02/21/2021 00:00:00
KYD,1.19793476,02/21/2021 00:00:00
KZT,0.00239160,02/21/2021 00:00:00
LAK,0.00010686,02/21/2021 00:00:00
LBP,0.00066022,02/21/2021 00:00:00
LKR,0.00510666,02/21/2021 00:00:00
LRD,0.00578034,02/21/2021 00:00:00
LSL,0.06807176,02/21/2021 00:00:00
LTL,0.33866849,02/21/2021 00:00:00
LVL,1.65319314,02/21/2021 00:00:00
LYD,0.22424189,02/21/2021 00:00:00
MAD,0.11214169,02/21/2021 00:00:00
MDL,0.05677299,02/21/2021 00:00:00
